Date,District,Dengue_Cases,Temperature,Humidity,Rainfall_mm,Previous_Day_Dengue_Cases
01-01-23,Dhaka,21,17.9,81,0,15
02-01-23,Dhaka,13,19.1,71,0,21
03-01-23,Dhaka,22,16.2,87,0,13
04-01-23,Dhaka,19,14.8,91,0,22
05-01-23,Dhaka,25,15.2,86,0,19
06-01-23,Dhaka,5,14.5,89,0,25
07-01-23,Dhaka,14,13.3,93,0,5
08-01-23,Dhaka,7,16,88,0,14
09-01-23,Dhaka,9,19.8,70,0,7
10-01-23,Dhaka,15,21,59,0,9
11-01-23,Dhaka,13,18.8,54,0,15
12-01-23,Dhaka,7,16.3,71,0,13
13-01-23,Dhaka,4,18.5,70,0,7
14-01-23,Dhaka,5,20.2,85,0,4
15-01-23,Dhaka,5,20.8,65,0,5
16-01-23,Dhaka,9,19.3,60,0,5
17-01-23,Dhaka,5,18.7,58,0,9
18-01-23,Dhaka,8,17.9,63,0,5
19-01-23,Dhaka,6,18.2,59,0,8
20-01-23,Dhaka,1,18.9,65,0,6
21-01-23,Dhaka,9,18.7,66,0,1
22-01-23,Dhaka,3,20,67,0,9
23-01-23,Dhaka,6,20.9,70,0,3
24-01-23,Dhaka,5,21.3,69,0,6
25-01-23,Dhaka,6,21.7,73,0,5
26-01-23,Dhaka,3,22.3,75,0,6
27-01-23,Dhaka,2,23,68,0,3
28-01-23,Dhaka,3,22.4,72,0,2
29-01-23,Dhaka,8,19.7,78,0,3
30-01-23,Dhaka,4,21.4,75,0,8
31-01-23,Dhaka,5,24.1,63,0,4
01-02-23,Dhaka,2,20,61,0,5
02-02-23,Dhaka,2,19.44,61,0,2
03-02-23,Dhaka,2,19.44,67,0,2
04-02-23,Dhaka,7,18.89,66,0,2
05-02-23,Dhaka,3,20.56,60,0,7
06-02-23,Dhaka,4,20.56,65,0,3
07-02-23,Dhaka,3,19.44,70,0,4
08-02-23,Dhaka,4,17.22,73,0,3
09-02-23,Dhaka,3,18.89,73,0,4
10-02-23,Dhaka,3,19.44,55,0,3
11-02-23,Dhaka,4,21.11,59,0,3
12-02-23,Dhaka,4,21.11,63,0,4
13-02-23,Dhaka,2,21.11,32,0,4
14-02-23,Dhaka,3,21.67,40,0,2
15-02-23,Dhaka,6,23.33,52,0,3
16-02-23,Dhaka,2,23.33,58,0,6
17-02-23,Dhaka,0,21.67,61,0,2
18-02-23,Dhaka,3,20.56,68,0,0
19-02-23,Dhaka,3,21.11,72,0,3
20-02-23,Dhaka,2,21.11,71,0,3
21-02-23,Dhaka,0,22.22,75,0,2
22-02-23,Dhaka,3,21.11,74,0,0
23-02-23,Dhaka,3,20.56,67,0,3
24-02-23,Dhaka,0,22.22,71,0,3
25-02-23,Dhaka,3,20,55,2,0
26-02-23,Dhaka,3,20.56,53,0,3
27-02-23,Dhaka,1,21.67,56,0,3
28-02-23,Dhaka,0,21.67,46,0,1
01-03-23,Dhaka,2,22.22,50,0,0
02-03-23,Dhaka,6,26.7,56,0,2
03-03-23,Dhaka,0,26.8,53,0,6
04-03-23,Dhaka,1,27.1,55,0,0
05-03-23,Dhaka,4,27.2,56,0,1
06-03-23,Dhaka,5,27.1,52,0,4
07-03-23,Dhaka,2,27.3,46,0,5
08-03-23,Dhaka,1,27.5,48,0,2
09-03-23,Dhaka,7,27.6,48,0,1
10-03-23,Dhaka,0,27.6,48,0,7
11-03-23,Dhaka,2,27.4,54,0,0
12-03-23,Dhaka,2,28.4,48,0,2
13-03-23,Dhaka,3,28.2,48,0,2
14-03-23,Dhaka,1,28.6,51,0,3
15-03-23,Dhaka,2,27.2,67,0,1
16-03-23,Dhaka,3,27.7,68,2,2
17-03-23,Dhaka,0,24.9,68,1,3
18-03-23,Dhaka,4,27.1,57,0,0
19-03-23,Dhaka,3,22.8,87,0,4
20-03-23,Dhaka,1,24.2,73,18,3
21-03-23,Dhaka,1,24.6,71,0,1
22-03-23,Dhaka,4,26,67,0,1
23-03-23,Dhaka,1,26.7,65,0,4
24-03-23,Dhaka,0,25.3,74,0,1
25-03-23,Dhaka,5,25.9,77,19,0
26-03-23,Dhaka,0,27,70,2,5
27-03-23,Dhaka,4,27.4,62,0,0
28-03-23,Dhaka,5,28.4,62,0,4
29-03-23,Dhaka,2,25.2,78,0,5
30-03-23,Dhaka,3,26.3,70,4,2
