Date,District,Dengue_Cases,Temperature,Humidity,Rainfall_mm,Previous_Day_Dengue_Cases
2020-01-01,Dhaka,9.0,20.0,70.0,0.0,30.0
2020-01-02,Dhaka,10.0,22.0,73.0,0.0,9.0
2020-01-03,Dhaka,17.0,19.0,89.0,2.0,10.0
2020-01-04,Dhaka,22.0,19.0,84.0,18.0,17.0
2020-01-05,Dhaka,20.0,19.0,82.0,0.0,22.0
2020-01-06,Dhaka,22.0,17.0,75.0,0.0,20.0
2020-01-07,Dhaka,24.0,14.0,88.0,0.0,22.0
2020-01-08,Dhaka,30.0,17.0,83.0,0.0,24.0
2020-01-09,Dhaka,31.0,19.0,79.0,0.0,30.0
2020-01-10,Dhaka,33.0,19.0,77.0,0.0,31.0
2020-01-11,Dhaka,36.0,15.0,91.0,0.0,33.0
2020-01-12,Dhaka,35.0,14.0,93.0,0.0,36.0
2020-01-13,Dhaka,39.0,17.0,85.0,0.0,35.0
2020-01-14,Dhaka,40.0,18.0,89.0,0.0,39.0
2020-01-15,Dhaka,41.0,19.0,82.0,0.0,40.0
2020-01-16,Dhaka,41.0,20.0,80.0,0.0,41.0
2020-01-17,Dhaka,12.0,21.0,74.0,0.0,41.0
2020-01-18,Dhaka,16.0,22.0,73.0,0.0,12.0
2020-01-19,Dhaka,5.0,22.0,75.0,0.0,16.0
2020-01-20,Dhaka,9.0,18.0,68.0,0.0,5.0
2020-01-21,Dhaka,18.0,18.0,66.0,0.0,9.0
2020-01-22,Dhaka,7.0,18.0,65.0,0.0,18.0
2020-01-23,Dhaka,8.0,18.0,68.0,0.0,7.0
2020-01-24,Dhaka,8.0,18.0,62.0,0.0,8.0
2020-01-25,Dhaka,6.0,18.0,62.0,0.0,8.0
2020-01-26,Dhaka,5.0,18.0,63.0,0.0,6.0
2020-01-27,Dhaka,9.0,17.0,71.0,0.0,5.0
2020-01-28,Dhaka,2.0,18.0,74.0,0.0,9.0
2020-01-29,Dhaka,6.0,18.0,84.0,0.0,2.0
2020-01-30,Dhaka,0.0,20.0,79.0,1.0,6.0
2020-01-31,Dhaka,4.0,20.0,71.0,0.0,0.0
2020-02-01,Dhaka,4.0,20.0,59.0,0.0,4.0
2020-02-02,Dhaka,12.0,18.0,54.0,0.0,4.0
2020-02-03,Dhaka,17.0,18.0,49.0,0.0,12.0
2020-02-04,Dhaka,27.0,20.0,53.0,0.0,17.0
2020-02-05,Dhaka,20.0,20.0,54.0,0.0,27.0
2020-02-06,Dhaka,5.0,20.0,47.0,0.0,20.0
2020-02-07,Dhaka,6.0,20.0,49.0,0.0,5.0
2020-02-08,Dhaka,11.0,20.0,56.0,0.0,6.0
2020-02-09,Dhaka,2.0,21.0,54.0,0.0,11.0
2020-02-10,Dhaka,6.0,21.0,50.0,0.0,2.0
2020-02-11,Dhaka,5.0,21.0,51.0,0.0,6.0
2020-02-12,Dhaka,3.0,21.0,50.0,0.0,5.0
2020-02-13,Dhaka,7.0,20.0,56.0,0.0,3.0
2020-02-14,Dhaka,1.0,21.0,64.0,0.0,7.0
2020-02-15,Dhaka,1.0,23.0,73.0,0.0,1.0
2020-02-16,Dhaka,2.0,22.0,65.0,0.0,1.0
2020-02-17,Dhaka,5.0,23.0,61.0,0.0,2.0
2020-02-18,Dhaka,3.0,22.0,68.0,0.0,5.0
2020-02-19,Dhaka,16.0,23.0,59.0,0.0,3.0
2020-02-20,Dhaka,4.0,23.0,67.0,0.0,16.0
2020-02-21,Dhaka,0.0,23.0,65.0,0.0,4.0
2020-02-22,Dhaka,0.0,24.0,59.0,0.0,0.0
2020-02-23,Dhaka,1.0,25.0,60.0,0.0,0.0
2020-02-24,Dhaka,4.0,23.0,73.0,0.0,1.0
2020-02-25,Dhaka,2.0,21.0,79.0,0.0,4.0
2020-02-26,Dhaka,8.0,22.0,73.0,1.0,2.0
2020-02-27,Dhaka,4.0,22.0,69.0,0.0,8.0
2020-02-28,Dhaka,3.0,23.0,53.0,0.0,4.0
2020-02-29,Dhaka,12.0,24.0,53.0,0.0,3.0
2020-03-01,Dhaka,4.0,26.0,54.0,0.0,12.0
2020-03-02,Dhaka,3.0,25.0,64.0,0.0,4.0
2020-03-03,Dhaka,3.0,24.0,62.0,0.0,3.0
2020-03-04,Dhaka,4.0,24.0,67.0,14.0,3.0
2020-03-05,Dhaka,6.0,25.0,66.0,12.0,4.0
2020-03-06,Dhaka,7.0,25.0,72.0,0.0,6.0
2020-03-07,Dhaka,7.0,23.0,78.0,0.0,7.0
2020-03-08,Dhaka,4.0,24.0,75.0,0.0,7.0
2020-03-09,Dhaka,6.0,24.0,57.0,1.0,4.0
