Date,Dengue_Cases,Total
01/01/2025,26,26
02/01/2025,32,58
03/01/2025,8,66
04/01/2025,21,87
05/01/2025,26,113
06/01/2025,24,137
07/01/2025,19,156
08/01/2025,16,172
09/01/2025,13,185
10/01/2025,11,196
11/01/2025,24,220
12/01/2025,17,237
13/01/2025,16,253
14/01/2025,16,269
15/01/2025,17,286
16/01/2025,11,297
17/01/2025,11,308
18/01/2025,16,324
19/01/2025,9,333
20/01/2025,10,343
21/01/2025,7,350
22/01/2025,10,360
23/01/2025,2,362
24/01/2025,4,366
25/01/2025,6,372
26/01/2025,12,384
27/01/2025,8,392
28/01/2025,8,400
29/01/2025,8,408
30/01/2025,7,415
31/01/2025,6,421
01/02/2025,3,424
02/02/2025,2,426
03/02/2025,5,431
04/02/2025,1,432
05/02/2025,1,433
06/02/2025,4,437
07/02/2025,2,439
08/02/2025,6,445
09/02/2025,8,453
10/02/2025,6,459
11/02/2025,3,462
12/02/2025,1,463
13/02/2025,2,465
14/02/2025,2,467
15/02/2025,1,468
16/02/2025,5,473
17/02/2025,3,476
18/02/2025,5,481
19/02/2025,2,483
20/02/2025,1,484
21/02/2025,3,487
22/02/2025,4,491
23/02/2025,3,494
24/02/2025,1,495
25/02/2025,4,499
26/02/2025,2,501
27/02/2025,2,503
28/02/2025,1,504
01/03/2025,2,506
02/03/2025,2,508
03/03/2025,2,510
04/03/2025,3,513
05/03/2025,3,516
06/03/2025,1,517
07/03/2025,2,519
08/03/2025,4,523
09/03/2025,7,530
10/03/2025,4,534
11/03/2025,3,537
12/03/2025,3,540
13/03/2025,8,548
14/03/2025,4,552
15/03/2025,5,557
16/03/2025,1,558
17/03/2025,2,560
18/03/2025,1,561
19/03/2025,3,564
20/03/2025,2,566
21/03/2025,1,567
22/03/2025,4,571
23/03/2025,1,572
24/03/2025,5,577
25/03/2025,1,578
26/03/2025,2,580
27/03/2025,4,584
28/03/2025,1,585
29/03/2025,1,586
30/03/2025,2,588
31/03/2025,0,588
01/04/2025,1,589
02/04/2025,0,589
03/04/2025,0,589
04/04/2025,1,590
05/04/2025,4,594
06/04/2025,1,595
07/04/2025,4,599
08/04/2025,2,601
09/04/2025,3,604
10/04/2025,4,608
11/04/2025,3,611
12/04/2025,7,618
13/04/2025,5,623
14/04/2025,2,625
15/04/2025,11,636
16/04/2025,3,639
17/04/2025,3,642
18/04/2025,4,646
19/04/2025,12,658
20/04/2025,5,663
21/04/2025,5,668
22/04/2025,9,677
23/04/2025,10,687
24/04/2025,7,694
25/04/2025,7,701
26/04/2025,10,711
27/04/2025,3,714
28/04/2025,10,724
29/04/2025,1,725
30/04/2025,4,729
01/05/2025,11,740
02/05/2025,1,741
03/05/2025,9,750
04/05/2025,8,758
05/05/2025,7,765
06/05/2025,11,776
07/05/2025,9,785
08/05/2025,9,794
09/05/2025,9,803
10/05/2025,15,818
11/05/2025,5,823
12/05/2025,17,840
13/05/2025,8,848
14/05/2025,8,856
15/05/2025,18,874
16/05/2025,12,886
17/05/2025,12,898
18/05/2025,22,920
19/05/2025,9,929
20/05/2025,34,963
21/05/2025,7,970
22/05/2025,19,989
23/05/2025,7,996
24/05/2025,18,1014
25/05/2025,20,1034
26/05/2025,11,1045
27/05/2025,19,1064
28/05/2025,28,1092
29/05/2025,17,1109
30/05/2025,8,1117
31/05/2025,13,1130
01/06/2025,16,1146
02/06/2025,17,1163
03/06/2025,18,1181
04/06/2025,13,1194
05/06/2025,6,1200
06/06/2025,17,1217
07/06/2025,11,1228
08/06/2025,10,1238
09/06/2025,12,1250
10/06/2025,13,1263
11/06/2025,12,1275
12/06/2025,11,1286
13/06/2025,13,1299
14/06/2025,35,1334
15/06/2025,43,1377
16/06/2025,43,1420
17/06/2025,36,1456
18/06/2025,50,1506
19/06/2025,55,1561
20/06/2025,28,1589
21/06/2025,62,1651
22/06/2025,64,1715
23/06/2025,87,1802
24/06/2025,92,1894
25/06/2025,73,1967
26/06/2025,58,2025
27/06/2025,21,2046
28/06/2025,48,2094
29/06/2025,60,2154
30/06/2025,87,2241
01/07/2025,68,2309
02/07/2025,94,2403
03/07/2025,78,2481
04/07/2025,57,2538
05/07/2025,79,2617
06/07/2025,48,2665
07/07/2025,89,2754
08/07/2025,93,2847
09/07/2025,89,2936
10/07/2025,76,3012
11/07/2025,25,3037
12/07/2025,83,3120
13/07/2025,84,3204
14/07/2025,71,3275
15/07/2025,67,3342
16/07/2025,74,3416
17/07/2025,76,3492
18/07/2025,29,3521
19/07/2025,65,3586
20/07/2025,74,3660
21/07/2025,95,3755
22/07/2025,121,3876
23/07/2025,90,3966
24/07/2025,54,4020
25/07/2025,40,4060
26/07/2025,75,4135
27/07/2025,86,4221
28/07/2025,82,4303
29/07/2025,106,4409
30/07/2025,78,4487
31/07/2025,63,4550
01/08/2025,27,4577
02/08/2025,37,4614
03/08/2025,124,4738
04/08/2025,84,4822
05/08/2025,89,4911
06/08/2025,113,5024
07/08/2025,94,5118
08/08/2025,63,5181
09/08/2025,95,5276
10/08/2025,80,5356
11/08/2025,132,5488
12/08/2025,118,5606
13/08/2025,89,5695
14/08/2025,89,5784
15/08/2025,38,5822
16/08/2025,55,5877
17/08/2025,133,6010
18/08/2025,105,6115
19/08/2025,138,6253
20/08/2025,117,6370
21/08/2025,112,6482
22/08/2025,41,6523
23/08/2025,100,6623
24/08/2025,120,6743
25/08/2025,122,6865
