Date,Rainfall_mm
01/01/2025,0
02/01/2025,0
03/01/2025,0
04/01/2025,0
05/01/2025,0
06/01/2025,0
07/01/2025,0
08/01/2025,0
09/01/2025,0
10/01/2025,0
11/01/2025,0
12/01/2025,0
13/01/2025,0
14/01/2025,0
15/01/2025,0
16/01/2025,0
17/01/2025,0
18/01/2025,0
19/01/2025,0
20/01/2025,0
21/01/2025,0
22/01/2025,0
23/01/2025,0
24/01/2025,0
25/01/2025,0
26/01/2025,0
27/01/2025,0
28/01/2025,0
29/01/2025,0
30/01/2025,0
31/01/2025,0
01/02/2025,0
02/02/2025,0
03/02/2025,0
04/02/2025,0
05/02/2025,0
06/02/2025,0
07/02/2025,0
08/02/2025,0
09/02/2025,0
10/02/2025,0
11/02/2025,0
12/02/2025,0
13/02/2025,0
14/02/2025,0
15/02/2025,0
16/02/2025,0
17/02/2025,0
18/02/2025,0
19/02/2025,0
20/02/2025,0
21/02/2025,0
22/02/2025,0
23/02/2025,7
24/02/2025,0
25/02/2025,0
26/02/2025,0
27/02/2025,0
28/02/2025,0
01/03/2025,0
02/03/2025,0
03/03/2025,0
04/03/2025,0
05/03/2025,0
06/03/2025,0
07/03/2025,0
08/03/2025,0
09/03/2025,0
10/03/2025,0
11/03/2025,0
12/03/2025,0
13/03/2025,0
14/03/2025,0
15/03/2025,0
16/03/2025,0
17/03/2025,0
18/03/2025,0
19/03/2025,0
20/03/2025,0
21/03/2025,0
22/03/2025,0
23/03/2025,0
24/03/2025,0
25/03/2025,0
26/03/2025,0
27/03/2025,0
28/03/2025,0
29/03/2025,0
30/03/2025,0
31/03/2025,0
01/04/2025,0
02/04/2025,0
03/04/2025,0
04/04/2025,0
05/04/2025,0
06/04/2025,0
07/04/2025,9
08/04/2025,0
09/04/2025,0
10/04/2025,0
11/04/2025,0
12/04/2025,3
13/04/2025,0
14/04/2025,0
15/04/2025,0
16/04/2025,31
17/04/2025,21
18/04/2025,0
19/04/2025,0
20/04/2025,0
21/04/2025,2
22/04/2025,0
23/04/2025,0
24/04/2025,0
25/04/2025,0
26/04/2025,0
27/04/2025,0
28/04/2025,8
29/04/2025,2
30/04/2025,0
01/05/2025,7
02/05/2025,0
03/05/2025,0
04/05/2025,1
05/05/2025,0
06/05/2025,0
07/05/2025,0
08/05/2025,0
09/05/2025,0
10/05/2025,0
11/05/2025,0
12/05/2025,1
13/05/2025,0
14/05/2025,23
15/05/2025,6
16/05/2025,0
17/05/2025,34
18/05/2025,4
19/05/2025,1
20/05/2025,26
21/05/2025,0
22/05/2025,0
23/05/2025,3
24/05/2025,1
25/05/2025,0
26/05/2025,6
27/05/2025,2
28/05/2025,12
29/05/2025,83
30/05/2025,127
31/05/2025,31
01/06/2025,3
02/06/2025,15
03/06/2025,10
04/06/2025,6
05/06/2025,1
06/06/2025,6
07/06/2025,27
08/06/2025,27
09/06/2025,6
10/06/2025,6
11/06/2025,28
12/06/2025,
13/06/2025,
14/06/2025,5
15/06/2025,5
16/06/2025,2
17/06/2025,38
18/06/2025,13
19/06/2025,10
20/06/2025,2
21/06/2025,1
22/06/2025,
23/06/2025,
24/06/2025,
25/06/2025,
26/06/2025,4
27/06/2025,2
28/06/2025,
29/06/2025,
30/06/2025,
01/07/2025,8
02/07/2025,7
03/07/2025,2
04/07/2025,28
05/07/2025,18
06/07/2025,
07/07/2025,1
08/07/2025,24
09/07/2025,80
10/07/2025,38
11/07/2025,16
12/07/2025,2
13/07/2025,16
14/07/2025,17
15/07/2025,41
16/07/2025,14
17/07/2025,12
18/07/2025,8
19/07/2025,
20/07/2025,
21/07/2025,
22/07/2025,25
23/07/2025,25
24/07/2025,35
25/07/2025,11
26/07/2025,17
27/07/2025,23
28/07/2025,51
29/07/2025,25
30/07/2025,5
31/07/2025,30
01/08/2025,23
02/08/2025,2
03/08/2025,4
04/08/2025,64
05/08/2025,14
06/08/2025,2
07/08/2025,1
08/08/2025,13
09/08/2025,28
10/08/2025,21
11/08/2025,
12/08/2025,
13/08/2025,4
14/08/2025,13
15/08/2025,26
16/08/2025,5
17/08/2025,56
18/08/2025,54
19/08/2025,17
20/08/2025,1
21/08/2025,13
22/08/2025,20
23/08/2025,11
24/08/2025,8
25/08/2025,5
