Date,Time,Temperature (°C),Humidity (in %)
2025-01-01,12:00 AM,16.0,94.0
2025-01-01,12:30 AM,16.0,94.0
2025-01-01,1:00 AM,16.0,94.0
2025-01-01,1:30 AM,16.0,94.0
2025-01-01,2:00 AM,16.0,94.0
2025-01-01,2:30 AM,16.0,94.0
2025-01-01,3:00 AM,16.0,94.0
2025-01-01,3:30 AM,16.0,94.0
2025-01-01,4:00 AM,16.0,94.0
2025-01-01,4:30 AM,16.0,94.0
2025-01-01,5:00 AM,15.0,94.0
2025-01-01,5:30 AM,15.0,94.0
2025-01-01,6:00 AM,15.0,94.0
2025-01-01,6:30 AM,15.0,94.0
2025-01-01,7:00 AM,15.0,94.0
2025-01-01,7:30 AM,15.0,94.0
2025-01-01,8:00 AM,15.0,94.0
2025-01-01,8:30 AM,15.0,94.0
2025-01-01,9:00 AM,16.0,94.0
2025-01-01,9:30 AM,16.0,94.0
2025-01-01,10:00 AM,16.0,94.0
2025-01-01,10:30 AM,16.0,94.0
2025-01-01,11:00 AM,16.0,94.0
2025-01-01,11:30 AM,16.0,88.0
2025-01-01,12:00 PM,17.0,88.0
2025-01-01,12:30 PM,17.0,88.0
2025-01-01,1:00 PM,18.0,83.0
2025-01-01,1:30 PM,18.0,83.0
2025-01-01,2:00 PM,18.0,83.0
2025-01-01,2:30 PM,19.0,78.0
2025-01-01,3:00 PM,18.0,83.0
2025-01-01,3:30 PM,18.0,83.0
2025-01-01,4:00 PM,18.0,83.0
2025-01-01,4:30 PM,18.0,83.0
2025-01-01,5:00 PM,18.0,83.0
2025-01-01,5:30 PM,17.0,88.0
2025-01-01,6:00 PM,16.0,94.0
2025-01-01,6:30 PM,16.0,94.0
2025-01-01,7:00 PM,16.0,94.0
2025-01-01,7:30 PM,16.0,94.0
2025-01-01,8:00 PM,16.0,94.0
2025-01-01,8:30 PM,16.0,88.0
2025-01-01,9:00 PM,16.0,94.0
2025-01-01,9:30 PM,16.0,94.0
2025-01-01,10:00 PM,16.0,94.0
2025-01-01,10:30 PM,16.0,94.0
2025-01-01,11:00 PM,16.0,94.0
2025-01-01,11:30 PM,15.0,94.0
2025-01-02,12:00 AM,15.0,94.0
2025-01-02,12:30 AM,15.0,94.0
2025-01-02,1:00 AM,15.0,94.0
2025-01-02,1:30 AM,15.0,94.0
2025-01-02,2:00 AM,15.0,94.0
2025-01-02,2:30 AM,15.0,94.0
2025-01-02,3:30 AM,14.0,94.0
2025-01-02,4:00 AM,14.0,94.0
2025-01-02,4:30 AM,14.0,94.0
2025-01-02,5:00 AM,14.0,94.0
2025-01-02,5:30 AM,14.0,94.0
2025-01-02,6:00 AM,14.0,94.0
2025-01-02,6:30 AM,14.0,94.0
2025-01-02,7:00 AM,14.0,94.0
2025-01-02,7:30 AM,14.0,100.0
2025-01-02,8:00 AM,14.0,100.0
2025-01-02,8:30 AM,14.0,94.0
2025-01-02,9:00 AM,14.0,94.0
2025-01-02,9:30 AM,14.0,94.0
